  Order ID  ,Customer Name,Order Date,Sale Amount ($),QTY,City,Payment Method,Delivered?,Discount %,Rating,Sales Rep
OID5462,Omar R.,19/02/2024,1494.77,13.0,Riyadh,Wallet,0,43.9,2.0,Rep 27
OID7529,Amine B.,18/07/2024,1340.88,,Riyadh,Wallet,YES,42.4,1.0,Rep 13
OID4458,Omar R.,2024-06-05,567.81,11.0,Riyadh,Wallet,Yes,34.7,3.0,Rep 18
OID1308,Amine B.,10/12/2024,316.93,15.0,Dubai,Cash,N,41.8,1.0,Rep 17
OID8030,Sara L.,Nov 27 2024,378.39,4.0,Rabat,COD,no,38.8,,Rep 06
OID2841,,2024/04/09,,7.0,,Card,Y,19.2,1.0,Rep 25
OID2591,Sara L.,Jun 30 2024,834.14,6.0,,COD,no,18.8,5.0,Rep 14
OID7593,Amine B.,2024/08/24,74.61,3.0,Cairo,Cash,true,13.4,5.0,Rep 20
OID3816,Youssef K.,2024-10-25,79.44,1.0,,Cash,Y,17.1,5.0,Rep 11
OID9887,Lina M.,Jan 25 2025,1572.92,15.0,,Card,1,25.3,2.0,Rep 22
OID6767,Youssef K.,2024/05/02,181.16,4.0,,Card,N,37.3,5.0,Rep 18
OID8628,,2024-04-12,592.4,6.0,,COD,0,11.2,4.0,Rep 17
OID2106,Youssef K.,2024/03/31,,11.0,Cairo,Cash,Y,14.5,1.0,Rep 10
OID7783,Sara L.,2025-01-07,732.08,13.0,Riyadh,Wallet,YES,6.0,,Rep 21
OID7131,Lina M.,2024/12/05,1171.27,11.0,Dubai,Wallet,yes,1.6,3.0,Rep 07
OID3486,Lina M.,03/01/2025,569.87,14.0,Marrakech,Wallet,No,36.4,5.0,Rep 10
OID6072,Youssef K.,2025/02/01,,9.0,Casablanca,Card,No,24.2,3.0,Rep 06
OID5657,Amine B.,N/A,939.03,13.0,Marrakech,Wallet,true,19.3,4.0,Rep 21
OID4570,,04/01/2024,351.5,3.0,Riyadh,Card,No,19.9,,Rep 06
OID6151,Sara L.,2024/01/03,272.48,5.0,,Cash,1,19.8,3.0,Rep 08
OID1006,Omar R.,Mar 30 2024,461.82,17.0,Dubai,Wallet,0,16.0,2.0,Rep 07
OID1202,Youssef K.,Jun 19 2024,393.27,4.0,Riyadh,COD,N,,,Rep 02
OID6080,Lina M.,2024/03/27,522.45,14.0,Cairo,Card,no,3.4,3.0,Rep 07
OID7961,Lina M.,2024-06-03,1347.1,12.0,Marrakech,Cash,Y,23.3,,Rep 19
OID7093,,11/09/2024,639.98,16.0,,COD,No,18.7,4.0,Rep 05
OID3742,Lina M.,2024/01/13,990.96,8.0,Riyadh,COD,no,18.3,,Rep 14
OID2696,Youssef K.,2024/07/19,370.29,6.0,Casablanca,Wallet,No,40.2,3.0,Rep 25
OID4600,,2024-02-18,195.1,4.0,Rabat,COD,YES,24.6,2.0,Rep 12
OID6582,Amine B.,17/02/2024,145.82,2.0,Marrakech,COD,YES,24.9,2.0,Rep 22
OID3611,Sara L.,2024-09-20,627.55,8.0,Rabat,Cash,Y,43.1,2.0,Rep 08
OID7498,Amine B.,2024-03-09,592.01,7.0,,COD,1,29.3,2.0,Rep 21
OID9812,Youssef K.,Feb 21 2024,673.06,11.0,Riyadh,Card,true,27.0,4.0,Rep 19
OID6790,,2024-06-19,1713.77,16.0,,Card,yes,4.4,5.0,Rep 05
OID5694,Amine B.,2024/04/30,502.13,8.0,Casablanca,Wallet,no,20.6,2.0,Rep 24
OID3406,,Apr 03 2024,348.08,10.0,Dubai,Cash,true,27.1,5.0,Rep 08
OID8401,Sara L.,04/10/2024,867.35,7.0,,Card,true,34.5,,Rep 04
OID2305,Amine B.,2024-05-20,862.24,15.0,Casablanca,Wallet,no,40.6,4.0,Rep 11
OID8726,Lina M.,2024/02/20,519.52,4.0,Cairo,COD,Yes,20.4,4.0,Rep 16
OID9223,,22/02/2024,145.12,3.0,Casablanca,Cash,Yes,2.6,,Rep 10
OID3799,Amine B.,2024/07/17,2109.97,16.0,Riyadh,Wallet,Y,10.0,2.0,Rep 17
OID4856,Lina M.,Jul 29 2024,1870.15,,Casablanca,Card,1,15.6,5.0,Rep 03
OID8378,,N/A,790.11,7.0,Riyadh,Wallet,true,11.2,3.0,Rep 24
OID6101,,2024/04/26,1272.29,15.0,Casablanca,Cash,0,28.9,4.0,Rep 25
OID7584,,N/A,1648.24,17.0,,Wallet,no,13.9,,Rep 10
OID4741,Sara L.,N/A,19.37,1.0,Cairo,Card,true,0.1,3.0,Rep 04
OID8764,Sara L.,2024-01-28,637.57,11.0,Rabat,COD,N,10.7,5.0,Rep 08
OID2381,,2025-01-08,437.86,12.0,,COD,1,38.6,,Rep 15
OID4413,Amine B.,Nov 08 2024,167.57,5.0,Casablanca,COD,Y,35.1,5.0,Rep 15
OID5331,,Nov 26 2024,,2.0,Dubai,Wallet,N,,,Rep 04
OID9745,Youssef K.,08/03/2024,,9.0,,Card,No,38.0,3.0,Rep 10
OID2981,Youssef K.,2024/10/31,1251.78,13.0,Riyadh,Card,No,7.9,,Rep 11
OID3623,Lina M.,06/01/2025,324.24,3.0,Riyadh,COD,0,,4.0,Rep 23
OID5590,,2024-07-19,964.29,,Riyadh,Wallet,Y,28.3,,Rep 10
OID4434,Amine B.,2025-01-03,515.46,7.0,Marrakech,COD,YES,44.0,2.0,Rep 02
OID5789,Youssef K.,2024-04-03,387.5,,Casablanca,Cash,no,33.4,1.0,Rep 12
OID5498,Youssef K.,Feb 26 2024,38.9,2.0,,Wallet,N,5.1,5.0,Rep 03
OID8493,Amine B.,Oct 26 2024,677.85,8.0,,Wallet,Yes,19.8,4.0,Rep 25
OID5451,,16/06/2024,233.02,11.0,,Wallet,true,38.9,4.0,Rep 20
OID7529,Amine B.,18/07/2024,1340.88,,Riyadh,Wallet,YES,42.4,1.0,Rep 13
OID7213,Sara L.,2024/01/15,306.51,9.0,Riyadh,Card,Yes,27.1,5.0,Rep 18
OID7777,Youssef K.,Mar 14 2024,1370.57,14.0,Riyadh,Cash,Yes,39.4,4.0,Rep 22
OID2647,Omar R.,2024-09-21,,13.0,Cairo,Card,Yes,,,Rep 21
OID9597,Sara L.,Dec 21 2024,,11.0,,Cash,N,,4.0,Rep 21
OID9323,Amine B.,N/A,,9.0,Dubai,Cash,no,,1.0,Rep 10
OID7211,Omar R.,2024/01/27,470.38,12.0,Casablanca,Card,YES,27.2,4.0,Rep 11
OID4292,Amine B.,03/06/2024,1268.12,16.0,Cairo,Cash,0,18.9,3.0,Rep 15
OID3325,,2024-01-02,,13.0,Dubai,COD,Yes,,,Rep 04
OID3109,Youssef K.,2024-09-07,1574.42,,Cairo,Wallet,N,19.5,,Rep 04
OID7567,Sara L.,Dec 16 2024,623.36,14.0,Casablanca,COD,N,16.1,,Rep 20
OID4460,Youssef K.,2024-11-25,170.24,5.0,Riyadh,COD,YES,25.4,,Rep 03
OID6582,Amine B.,17/02/2024,145.82,2.0,Marrakech,COD,YES,24.9,2.0,Rep 22
OID7151,Lina M.,2024/03/13,,12.0,Casablanca,Card,no,28.1,3.0,Rep 07
OID5534,Sara L.,2024-09-12,64.58,,Rabat,Cash,No,13.2,3.0,Rep 24
OID3143,Omar R.,Jun 06 2024,1113.31,10.0,Riyadh,Wallet,N,37.4,2.0,Rep 15
OID9219,Lina M.,May 20 2024,,15.0,,Cash,1,24.4,5.0,Rep 23
OID3603,,Jun 24 2024,1603.54,15.0,,COD,N,34.8,3.0,Rep 08
OID8452,Amine B.,03/01/2024,1342.86,10.0,Cairo,Wallet,true,8.3,,Rep 09
OID9699,Youssef K.,Jun 04 2024,1169.06,11.0,Marrakech,Card,Yes,15.1,4.0,Rep 17
OID9702,Youssef K.,2024/11/30,1774.36,13.0,Rabat,COD,N,39.1,2.0,Rep 24
OID3040,Lina M.,2025/02/02,468.2,6.0,,Cash,no,13.5,,Rep 09
OID7472,,2024/06/27,1153.91,15.0,Marrakech,Cash,no,25.5,2.0,Rep 07
OID9623,Youssef K.,2024-02-19,90.44,1.0,,COD,N,,1.0,Rep 25
OID1379,Sara L.,14/03/2024,55054.07,2.0,Riyadh,Cash,Y,14.4,5.0,Rep 02
OID7693,Lina M.,2024/03/18,1547.81,16.0,,Card,true,33.7,,Rep 05
OID6384,Lina M.,11/06/2024,1496.41,17.0,Riyadh,Cash,No,15.9,1.0,Rep 02
OID9422,Amine B.,01/04/2024,965.22,8.0,Cairo,Cash,0,16.3,,Rep 27
OID4426,,19/05/2024,2099.58,16.0,Riyadh,COD,1,21.0,1.0,Rep 19
OID6131,Omar R.,Oct 16 2024,288.1,17.0,Dubai,Card,0,2.5,3.0,Rep 07
OID5123,Omar R.,2024/06/04,1421.76,13.0,Rabat,Wallet,Y,34.4,,Rep 19
OID9922,Sara L.,2024/12/25,452.72,4.0,,Card,Y,23.0,2.0,Rep 27
OID8633,Omar R.,2024-03-20,89.24,3.0,Marrakech,Wallet,no,36.1,2.0,Rep 27
OID4545,Youssef K.,2024-11-08,215.33,10.0,,COD,No,10.6,,Rep 21
OID3121,Omar R.,2024/09/05,1454.28,13.0,Casablanca,Wallet,no,39.6,4.0,Rep 21
OID5329,Amine B.,May 23 2024,74.82,2.0,Cairo,Cash,YES,10.7,1.0,Rep 03
OID2993,,2024-12-01,852.69,15.0,Casablanca,Cash,N,20.3,,Rep 04
OID4413,Amine B.,Nov 08 2024,167.57,5.0,Casablanca,COD,Y,35.1,5.0,Rep 15
OID6863,Amine B.,Aug 31 2024,635.36,9.0,,Cash,YES,26.9,2.0,Rep 20
OID9848,Omar R.,2024-08-08,313.16,3.0,Rabat,Card,Y,4.7,3.0,Rep 12
OID9935,Lina M.,2024-04-13,1807.17,,Riyadh,Cash,1,18.7,5.0,Rep 14
OID9155,Lina M.,May 30 2024,177.81,9.0,Dubai,COD,N,37.0,5.0,Rep 12
OID8366,Youssef K.,Sep 27 2024,909.32,7.0,Dubai,Card,no,40.0,,Rep 09
OID3200,Omar R.,16/01/2025,110.94,2.0,Rabat,COD,N,4.4,4.0,Rep 26
OID5534,Sara L.,2024-09-12,64.58,,Rabat,Cash,No,13.2,3.0,Rep 24
OID7416,Lina M.,2024/05/19,692.81,8.0,,Cash,1,6.8,2.0,Rep 14
OID4169,Sara L.,N/A,752.31,11.0,Dubai,COD,no,40.3,3.0,Rep 27
OID6389,Lina M.,2024/03/06,1776.02,16.0,Riyadh,Card,0,14.0,5.0,Rep 17
OID4387,Youssef K.,2025-01-12,398.11,14.0,Marrakech,Cash,no,31.7,1.0,Rep 10
OID1508,,21/12/2024,684.94,10.0,Rabat,Card,Y,21.9,,Rep 26
OID6836,Youssef K.,N/A,1305.21,10.0,Casablanca,Cash,YES,20.7,5.0,Rep 14
OID6822,Sara L.,2024/05/21,402.76,17.0,Riyadh,Card,N,5.3,,Rep 02
OID5245,Lina M.,2024/06/07,299.7,11.0,Cairo,Wallet,YES,9.3,3.0,Rep 20
OID4352,,2024-04-22,865.15,9.0,,Cash,No,1.4,1.0,Rep 26
OID5168,Sara L.,2024/04/22,58510.55,2.0,Riyadh,Wallet,no,33.4,2.0,Rep 07
OID6348,,N/A,,16.0,Casablanca,COD,true,10.7,,Rep 02
OID1999,Youssef K.,2024-04-07,411.33,15.0,Marrakech,Wallet,0,34.9,,Rep 23
OID4439,Youssef K.,2024/05/16,278.49,9.0,Dubai,Wallet,YES,38.5,3.0,Rep 07
OID9499,Lina M.,N/A,,6.0,,Wallet,Y,12.3,4.0,Rep 17
OID5078,Sara L.,2024/08/13,449.9,12.0,Riyadh,COD,no,24.5,3.0,Rep 24
OID3812,Youssef K.,Nov 17 2024,242.01,2.0,Casablanca,Wallet,no,18.6,2.0,Rep 15
OID9719,Amine B.,N/A,36.09,2.0,,Card,N,,,Rep 03
OID8657,,N/A,1434.3,16.0,,COD,true,1.5,3.0,Rep 24
OID4385,Omar R.,2024/03/26,516.78,10.0,Marrakech,COD,no,36.3,,Rep 04
OID4169,Sara L.,N/A,752.31,11.0,Dubai,COD,no,40.3,3.0,Rep 27
OID7599,Sara L.,Jun 30 2024,,12.0,,Card,Y,38.2,5.0,Rep 09
OID8165,Sara L.,2024-06-10,137.43,1.0,Casablanca,Wallet,Y,5.7,2.0,Rep 07
OID5992,Youssef K.,2024/02/20,1674.8,12.0,,Wallet,yes,36.7,1.0,Rep 05
OID7410,,31/10/2024,1821.2,14.0,,Wallet,No,8.2,,Rep 12
OID7403,,2024/12/01,,14.0,Dubai,Wallet,no,34.4,4.0,Rep 15
OID8536,Youssef K.,Oct 03 2024,818.78,9.0,Cairo,Wallet,1,8.3,,Rep 06
OID9809,,2024-08-27,46.96,2.0,Riyadh,COD,no,33.5,5.0,Rep 05
OID4053,Youssef K.,11/01/2024,,13.0,Casablanca,Cash,Y,32.0,3.0,Rep 05
OID5760,Lina M.,Jul 16 2024,,9.0,,COD,Y,0.4,5.0,Rep 05
OID8563,,24/07/2024,,9.0,Riyadh,Wallet,Y,7.8,,Rep 11
OID9256,,05/07/2024,,17.0,,COD,Y,2.1,1.0,Rep 23
OID3504,Omar R.,06/07/2024,1086.33,11.0,Riyadh,COD,No,38.3,4.0,Rep 03
OID9984,Youssef K.,May 03 2024,400.03,5.0,Dubai,Cash,yes,12.0,5.0,Rep 06
OID7793,,Feb 01 2024,871.02,8.0,Casablanca,Card,Yes,8.6,2.0,Rep 20
OID7312,Youssef K.,N/A,2239.3,17.0,,COD,true,22.0,1.0,Rep 18
OID9923,Omar R.,2024-02-28,419.72,4.0,Cairo,Wallet,No,36.6,3.0,Rep 19
OID9930,Sara L.,2024-11-16,765.6,15.0,Rabat,Cash,N,34.0,1.0,Rep 24
OID7213,Omar R.,2024-03-10,,,Rabat,COD,YES,15.6,4.0,Rep 01
OID9178,Amine B.,2024-06-18,,,Dubai,Cash,Y,29.2,,Rep 24
OID8452,Amine B.,N/A,1913.86,,Riyadh,COD,Y,21.0,,Rep 26
OID9461,Lina M.,25/11/2024,70509.35,3.0,Riyadh,COD,Y,34.6,2.0,Rep 19
OID5864,Youssef K.,2024-05-18,,7.0,Dubai,Wallet,yes,0.9,,Rep 04
OID1947,Sara L.,N/A,1379.15,,Riyadh,COD,true,34.1,2.0,Rep 18
OID8264,Lina M.,13/06/2024,1354.19,16.0,Riyadh,Cash,1,30.5,4.0,Rep 25
OID7584,,N/A,1648.24,17.0,,Wallet,no,13.9,,Rep 10
OID9155,Lina M.,May 30 2024,177.81,9.0,Dubai,COD,N,37.0,5.0,Rep 12
OID1948,Amine B.,2024/12/30,,4.0,,COD,true,41.3,4.0,Rep 14
OID1011,Omar R.,2025/01/11,,6.0,Riyadh,Card,no,20.6,,Rep 13
OID4265,,2024-09-01,887.77,11.0,,Wallet,N,40.9,2.0,Rep 15
OID6464,Lina M.,Aug 30 2024,702.64,14.0,Cairo,COD,yes,19.8,5.0,Rep 03
OID3323,Sara L.,Jan 24 2024,385.57,8.0,Riyadh,Cash,0,13.7,,Rep 08
OID4112,Youssef K.,14/10/2024,560.12,16.0,,Card,no,36.7,,Rep 10
OID6047,Sara L.,2024-09-08,124.55,4.0,,COD,yes,2.5,1.0,Rep 22
OID6151,Sara L.,2024/01/03,272.48,5.0,,Cash,1,19.8,3.0,Rep 08
OID1379,Sara L.,22/01/2024,409.6,,Rabat,COD,YES,39.8,5.0,Rep 04
OID4952,Sara L.,09/12/2024,482.51,8.0,,COD,Yes,,,Rep 17
OID3177,Omar R.,N/A,1335.34,10.0,Riyadh,Wallet,Y,27.7,,Rep 19
OID2230,Sara L.,2024/11/10,1055.73,12.0,Dubai,Card,Y,41.7,5.0,Rep 10
OID5845,,09/06/2024,1863.55,14.0,,Cash,Yes,17.2,2.0,Rep 13
OID3349,Lina M.,2024/06/30,243.07,6.0,Marrakech,COD,YES,25.1,2.0,Rep 26
OID4111,Youssef K.,29/04/2024,1321.33,15.0,Cairo,Wallet,N,14.6,2.0,Rep 03
OID9400,Lina M.,2024/05/14,790.57,6.0,,COD,0,40.6,,Rep 25
OID5289,Sara L.,2024-10-08,1232.03,14.0,,Cash,1,26.0,3.0,Rep 01
OID5555,Lina M.,2024-07-06,1187.3,16.0,,COD,1,,,Rep 10
OID8002,Sara L.,Jan 29 2025,2029.82,,Riyadh,Wallet,1,19.1,1.0,Rep 09
OID1372,,20/09/2024,203.13,9.0,Cairo,Wallet,Y,44.6,1.0,Rep 03
OID3664,Lina M.,N/A,315.42,6.0,Casablanca,COD,true,25.2,,Rep 12
OID4332,,21/07/2024,,6.0,Dubai,Card,N,,2.0,Rep 11
